DATE,SYMBOL,QUANTITY
2025-03-03,AGARWALTUF,"1,16,400"
2025-03-03,ANGELONE,"5,12,875"
2025-03-03,ANGELONE,"5,12,875"
2025-03-03,AVROIND,"54,004"
2025-03-03,BALAXI,"45,21,028"
2025-03-03,BALAXI,"45,77,717"
2025-03-03,BALAXI,"45,21,028"
2025-03-03,BALAXI,"45,77,717"
2025-03-03,BSE,"7,19,485"
2025-03-03,BSE,"7,19,485"
2025-03-03,DRL,"96,000"
2025-03-03,DRL,"42,000"
2025-03-03,DRL,"60,000"
2025-03-03,GENCON,4
2025-03-03,GENCON,"3,00,004"
2025-03-03,GENCON,"3,00,000"
2025-03-03,LAL,"10,00,000"
2025-03-03,LAL,"9,83,794"
2025-03-03,NH,"13,89,370"
2025-03-03,NH,"13,89,370"
2025-03-03,NRL,"3,73,586"
2025-03-03,PRAMARA,"30,000"
2025-03-03,PRAMARA,"66,000"
2025-03-03,QUADFUTURE,"2,24,774"
2025-03-03,QUADFUTURE,"2,24,774"
2025-03-03,SHEKHAWATI,"14,59,900"
2025-03-03,SHEKHAWATI,"14,50,000"
2025-03-03,SHIGAN,"1,48,500"
2025-03-03,SHIGAN,"1,38,000"
2025-03-03,TFL,"3,20,000"
2025-03-04,AVANTIFEED,"59,77,413"
2025-03-04,AVANTIFEED,"59,77,413"
2025-03-04,BANSWRAS,"10,00,000"
2025-03-04,BSE,"7,16,107"
2025-03-04,BSE,"7,16,107"
2025-03-04,DHANLAXMI,"2,00,000"
2025-03-04,DIFFNKG,"3,20,000"
2025-03-04,DIFFNKG,"3,18,000"
2025-03-04,GATECH,"44,00,000"
2025-03-04,GATECH,"55,00,000"
2025-03-04,GLOBE,"25,75,000"
2025-03-04,GTECJAINX,"1,36,731"
2025-03-04,GTECJAINX,"1,39,797"
2025-03-04,INDIACEM,"16,56,109"
2025-03-04,INDIACEM,"16,56,109"
2025-03-04,KRN,"3,95,329"
2025-03-04,KRN,"3,95,329"
2025-03-04,KRN,"3,45,260"
2025-03-04,KRN,"3,92,512"
2025-03-04,MINDPOOL,"2,16,000"
2025-03-04,MINDPOOL,"2,18,000"
2025-03-04,MOBIKWIK,"3,35,535"
2025-03-04,MOBIKWIK,"4,35,111"
2025-03-04,NEWJAISA,"2,01,000"
2025-03-04,NEWJAISA,"2,38,500"
2025-03-04,NH,"13,99,810"
2025-03-04,NH,"13,99,810"
2025-03-04,NITCO,"7,11,908"
2025-03-04,NITCO,"7,00,000"
2025-03-04,OLIL,"33,600"
2025-03-04,PRECISION,"2,00,000"
2025-03-04,QUADFUTURE,"1,78,980"
2025-03-04,QUADFUTURE,"2,11,939"
2025-03-04,SABAR,"95,000"
2025-03-04,SANGANI,"3,00,000"
2025-03-04,SANGANI,"78,000"
2025-03-04,SANGANI,"81,000"
2025-03-04,SOTAC,"1,53,600"
2025-03-04,SOTAC,"1,53,600"
2025-03-04,UCL,"1,00,000"
2025-03-04,UCL,"1,00,000"
2025-03-04,VIJAYA,"11,80,400"
2025-03-04,VIJAYA,"11,80,400"
2025-03-04,VIJAYA,"7,69,580"
2025-03-04,VIJAYA,"8,14,594"
2025-03-04,VIJAYA,"5,23,967"
2025-03-04,VIJAYA,"5,23,967"
2025-03-04,VIPULLTD,"20,00,000"
2025-03-05,APEXECO,"70,400"
2025-03-05,APEXECO,"14,400"
2025-03-05,APEXECO,"68,800"
2025-03-05,ATALREAL,"7,25,000"
2025-03-05,ATLASCYCLE,"26,917"
2025-03-05,ATLASCYCLE,"50,731"
2025-03-05,AVANTIFEED,"12,02,918"
2025-03-05,AVANTIFEED,"12,02,918"
2025-03-05,BALAJEE,"40,648"
2025-03-05,BALAJEE,"4,40,845"
2025-03-05,BANSWRAS,"10,20,000"
2025-03-05,BSE,"11,72,215"
2025-03-05,BSE,"11,72,215"
2025-03-05,GLOBE,"28,10,000"
2025-03-05,GSTL,"1,10,000"
2025-03-05,GSTL,"2,00,000"
2025-03-05,KHAITANLTD,"29,768"
2025-03-05,KRN,"4,45,546"
2025-03-05,KRN,"4,45,546"
2025-03-05,KRN,"3,92,164"
2025-03-05,KRN,"4,07,108"
2025-03-05,KRN,"3,64,034"
2025-03-05,KRN,"3,64,676"
2025-03-05,LAL,"9,91,730"
2025-03-05,MAKS,"73,500"
2025-03-05,MAKS,"73,500"
2025-03-05,PERFECT,"4,74,000"
2025-03-05,PERFECT,"4,68,000"
2025-03-05,POLYSIL,"10,000"
2025-03-05,POLYSIL,"66,000"
2025-03-05,PRECISION,"2,00,000"
2025-03-05,QUADFUTURE,"5,21,689"
2025-03-05,QUADFUTURE,"5,21,689"
2025-03-05,QUADFUTURE,"3,66,732"
2025-03-05,QUADFUTURE,"4,23,334"
2025-03-05,QUADFUTURE,"2,99,921"
2025-03-05,QUADFUTURE,"3,03,930"
2025-03-05,SANGINITA,"1,75,000"
2025-03-05,SANGINITA,"1,74,531"
2025-03-05,VERTEXPLUS,"78,600"
2025-03-05,VERTEXPLUS,600
